emotion,kind,name,info
anger,歌,うっせぇわ,https://www.youtube.com/watch?v=Qp3b-RXtz4w&ab_channel=Ado
anger,歌,Fuck You,https://www.youtube.com/watch?v=yFE6qQ3ySXE&ab_channel=LilyAllen
anger,歌,カワキヲアメク,https://www.youtube.com/watch?v=0YF8vecQWYs&ab_channel=%E7%BE%8E%E6%B3%A2
anger,歌,命に嫌われている,https://www.youtube.com/watch?v=eq8r1ZTma08&ab_channel=%E3%81%BE%E3%81%B5%E3%81%BE%E3%81%B5%E3%81%A1%E3%82%83%E3%82%93%E3%81%AD%E3%82%8B
anger,歌,還是會,https://www.youtube.com/watch?v=9dK9Krc4QNo&ab_channel=Weibird0305
anger,歌,In The End,https://www.youtube.com/watch?v=eVTXPUF4Oz4
anger,歌,爛泥,https://www.youtube.com/watch?v=tlZYyo7ziQk
anger,歌,背叛,https://www.youtube.com/watch?v=xHsSWiLsIRY
anger,歌,I Hate Everything About You,https://www.youtube.com/watch?v=d8ekz_CSBVg
anger,歌,沒有人在乎你在乎的事,https://www.youtube.com/watch?v=UX2uQyHaCUk
anger,詩,山之虞,"一隻鵲鳥
娓娓道出溫吞的原罪
那輯風景背後
和自由擦身而過的季節
遺漏了串串的思慮

爭執和諒解的紋理
無法砌回無數碎塊的臉容
崩落的岩壁懾攝了活躍的精靈
山變成一隻怪獸
發出怒吼，震碎林間的定序

蟬聲拉長了寂寥長度
氤氳靉靆掩蓋山徑的驚恐
我，循著一闋夏日節奏
由陰鬱黑鍵緩緩走向向陽白鍵
微微哼唱，彈破一片靜謐

低吟的蟲鳴
將日子擠壓只剩鬱卒的情緒
澗水靜靜聆聽山之緘默
我亦緘默，靜待紅塵喧囂"
anger,詩,壞人不容易,"偶然，
手上多了一個紋身，
我儘量的讓自己
看起來像個壞人。
人們都說好人難當，
好人哪裏知道，
壞人更不容易。
做一個壞人，
你收穫到了他人的恐懼，
但更多的卻是旁人的遠離。
你要承擔路人的懷疑甚至鄙夷，
且不能時時怒火沖天大發脾氣。
你可以沒修養，
但你不能沒眼色。
你可以沒文化，
但你不能沒智商。
你隨時隨地得帶著武器，
防止仇人來偷襲。
夜不能寐，
眼不得瞇，
時時刻刻還遭受著良心的譴責。
是誰說做好人難，
做壞人容易？
沒有一顆堅定的良心，
你勢必要被好人拋棄。
而好人，才是主流
才是人間的主宰和上帝。"
anger,詩,一切不會太久,"一切不會太久 
烏雲、酷日、謊言、淫亂…… 
壓抑、窒息、無奈、憤怒…… 
貪婪成性的食人獸， 
一個個粉墨登場， 
沒有歸宿的靈魂， 
只有彌漫的銅臭。 
我不是你圈養的牛羊， 
我要的是思想、快樂和自由…… 
這個不能搞， 
那個也不能說， 
難道只能聽你那狗屁不如的承諾？ 
粉飾的浮華， 
掩蓋不了你的罪惡， 
暴力的枷鎖即將瓦解， 
食人的盛宴不會長久， 
思想、快樂和自由本來就不是什麼奢侈品， 
噴湧的烈火將毀滅你的一切。"
anger,詩,憤怒的葡萄,"院子裡的葡萄藤 
沿著一根晒衣竿 
洶湧而至 
想必在結實之前總得做些什麼 
在枝頭釀造的 
豈僅是 
路人的仰望 
哦，無聲的憤怒 
由青轉紅……"
anger,詩,浪,"被推著往前走不是我願意 
因為海把我勸離 
沙灘本是我轉機 
但卻重重的把我反擊 
我心中的怒火熊熊燃起 
等我成功上了陸地 
就知道誰是第一"
anger,詩,憤怒,"假如我的夢境趨之現實 
他們會把我的家園摧毀 
當我真的醒過來 
我無可奈何地噤若寒蟬 
我真有能量割掉他們的頭顱嗎？ 
仿若亞特米塞婭的畫 
朱迪斯斬斷霍洛芬尼斯之頭 
我妄想把唾沫吐在他們的臉上 
把惡毒的咒言盡情發洩 
我恐怕我的憤怒堆積如山時 
猶如一隻毛蟲齕食着邪惡的種子 
蛻變成為一隻絢麗斑斑的救贖者"
anger,詩,厭惡自己,"竟也習慣了 
自己丑陋的模樣 
醜陋的眉目 
醜陋的嘴臉 
還有那 
不堪入目的心靈 

為什麼 
這樣的我 
竟沒有被自己噁心 

那些 
陽光燦爛 心如止水的 日子 
也早已陰暗 混濁 

走著 走著 
一位衣衫襤褸 
滿深惡臭的乞丐 
從我身旁經過 

原來那就是我 
一切問題的答案..."
anger,詩,我害怕,"我害怕， 看不到邊的沙漠。
我害怕， 夜的黑暗。
我害怕， 天氣的變化。
我更害怕， 死神的到來！
也許， 會有人問我， 我為什麼害怕。
我會毫不猶豫地告訴你， 也許是因為這世界黑暗得渺茫。
也許， 會有人問我， 我為什麼害怕死神的到來。
我也會同樣會毫不猶豫地告訴你， 我害怕她把我帶走。
帶我走那無邊的黃泉路， 走那讓我害怕的道路， 走那悲傷的告別。
這一切的一切， 我不要， 它不屬於我， 我不屬於它。
因為我不想讓親朋好友傷心， 
不想看那無謂而悲痛的眼淚， 
不想讓他們對我的絕望， 
我更不想辜負他們對我的期望。
也許， 會有人說我是個膽小鬼，怕死鬼...
我都無所謂。
其實， 我並不是怕死， 
而是害怕死神不讓我報答對我有恩的人…
如果， 真的不能。
我希望， 死亡就在我閉上眼睛的那一刻結束我的人生…"
anger,詩,髮或背叛之河,"其實 打一開始 
它就蓄意背叛 
從未猶豫 
嘩嘩由西向東 
無視癡心的黑 
恣縱地走向白 
任你如何誘迫 

甚至以 
死"
anger,詩,當世界只剩下法律,"當一個快餓死的小男孩偷走麵包 
當一個趕時間的母親穿越馬路 
當一個被壓榨的工人臥軌 
當一個絕望的人開槍 
　 
當一朵雲 
把雨下在禮拜天的遊樂場裡 
憤怒的人群 
沒有誰認真看見它的悲傷"
happiness,歌,Happy,https://www.youtube.com/watch?v=y6Sxv-sUYtM
happiness,歌,Uptown Funk,https://www.youtube.com/watch?v=OPf0YbXqDm0
happiness,歌,It's A Beautiful Day,https://www.youtube.com/watch?v=5QYxuGQMCuU&list=PLW9z2i0xwq0F3-8LieqflLLWLWZQgvhEX&index=3
happiness,歌,Can't Stop the Feeling,https://www.youtube.com/watch?v=ru0K8uYEZWw
happiness,歌,Dancing Queen,https://www.youtube.com/watch?v=xFrGuyw1V8s
happiness,歌,Viva La Vida,https://www.youtube.com/watch?v=dvgZkm1xWPE&ab_channel=Coldplay
happiness,歌,Happy Together,https://www.youtube.com/watch?v=9ZEURntrQOg&ab_channel=CameronPosh
happiness,歌,Party Rock Anthem,https://www.youtube.com/watch?v=KQ6zr6kCPj8&ab_channel=LMFAOVEVO
happiness,歌,オドループ,https://www.youtube.com/watch?v=PCp2iXA1uLE&ab_channel=A-SketchMUSICLABEL
happiness,歌,新宝島,https://www.youtube.com/watch?v=LIlZCmETvsY&ab_channel=NFRecordssakanaction
happiness,詩,快樂的腳印,"手裡抓住風箏線
順著風的走向
快樂奔跑在海邊
沙灘裡留下
串串的笑聲

我們都經歷過
跟著它一起瘋狂
順應著自然的風
快樂地留下風霜

童年走到老年
春天吹向冬天
發現把自己
溶進了自然
快樂的腳印
隨處都可見"
happiness,詩,收集陽光,"樹木收集陽光 
溫暖周圍花草 
大海收集的陽光 
賞日出日落玄妙 

你收集的陽光 
化作心中的善念 
像那一張張笑臉 
洋溢在人們心房"
happiness,詩,歡喜兩帖,"< 一 >
涵蘊一種良善
方寸溢出曙光
放歌嘴角上揚的
歡喜如來

< 二 >
巖壑幽居
泉鳴山靜
演繹了一盤饒富
生命原野上
山樵躬耕自足
閒來詩書相伴
時間就在清風草香中翻飛"
happiness,詩,喜悅,"喜悅是隻纖小輕捷的金鳥 
有對透明而隱形的薄翼 
何時歛翼？再停駐心田 
不可期待，也無法預知"
